set Generators :=
10034_G_GEN1 10034_G_GEN2 10156_G_GEN2 10156_G_GEN4 10175_G_0799 10213_G_GEN1 10213_G_GEN2 10213_G_GEN5 10213_G_GEN6 10213_G_GEN7 10213_G_GEN8 10294_G_GTG 10294_G_STG 10342_G_TG1 10342_G_TG2 10342_G_TG3 10405_G_GEN1 10405_G_GEN2 10479_G_T101 10479_G_T102 10479_G_T103 10480_G_GEN1 10480_G_GEN2 10481_G_1 10481_G_2 10481_G_3 10623_G_GEN1 10623_G_GEN2 10631_G_GEN1 10632_G_GEN1 10634_G_GEN1 10759_G_GEN1 10763_G_GBU 10763_G_GEN1 10873_G_GEN1 10873_G_GEN2 10873_G_GEN3 10874_G_GEN4 10874_G_GEN5 10874_G_GEN6 10875_G_GEN7 10875_G_GEN8 10875_G_GEN9 10878_G_EE11 10879_G_GEN1 10879_G_GEN2 10879_G_GEN3 260_G_CT1A 260_G_CT1B 260_G_CT2A 260_G_CT2B 260_G_ST1 260_G_ST2 286_G_U11 286_G_U12 286_G_U13 286_G_U14 286_G_U16 286_G_U17 286_G_U18 286_G_U20 286_G_U5 286_G_U6 286_G_U7 286_G_U8 358_G_MV3A 358_G_MV3B 358_G_MV3C 358_G_MV4A 358_G_MV4B 358_G_MV4C 377_G_1 377_G_2 377_G_8A 377_G_8BC 389_G_2 389_G_2A 389_G_30 389_G_31 389_G_32 399_G_10A 399_G_10B 399_G_5 400_B_1 400_B_2 400_G_10 400_G_11 400_G_12 400_G_13 400_G_14 400_G_15 400_G_16 400_G_8 400_G_9 404_B_1 404_B_2 404_G_4 404_G_5 404_G_6 404_G_7 408_G_6 408_G_7 408_G_8 422_G_GT5 422_G_ST1 50066_G_UNT1 50066_G_UNT2 50134_G_GTAG 50134_G_GTBG 50134_G_GTCG 50134_G_GTDG 50210_G_GEN1 50210_G_GEN2 50216_G_GN91 50216_G_GN92 50216_G_GN93 50216_G_GN94 50216_G_GN95 50216_G_GN96 50388_B_K1 50388_B_K2 50541_G_GEN1 50541_G_ST1 50541_G_ST2 50748_G_GEN1 50748_G_GEN2 50766_G_ITLU1 50766_G_ITLU2 50766_G_OE31 50766_G_OE32 50849_G_GEN1 50849_G_GEN2 50850_G_GEN1 50850_G_GEN2 50851_G_GEN1 50851_G_GEN2 50964_G_IND 50964_G_SYN 510_G_1 52073_G_GEN1 52073_G_GEN2 52073_G_GEN3 52158_G_GEN1 52158_G_GEN2 535_G_1 54038_G_GEN1 54111_G_GE10 54111_G_GE11 54111_G_GE12 54111_G_GE13 54111_G_GEN1 54111_G_GEN14 54111_G_GEN2 54111_G_GEN3 54111_G_GEN4 54111_G_GEN5 54111_G_GEN6 54111_G_GEN7 54111_G_GEN8 54111_G_GEN9 54689_G_1 54689_G_2 54689_G_3 54724_G_OEC21 54724_G_OEC22 54749_G_CTG 54749_G_STG 54996_G_4100 55084_G_GE1 55112_G_CT01 55112_G_CT02 55112_G_ST01 55182_G_STG 55182_G_X718 55182_G_X719 55217_G_CTG1 55217_G_CTG2 55217_G_STG3 55295_G_CT1 55295_G_CT2 55295_G_ST1 55333_G_CTG1 55333_G_CTG2 55333_G_CTG3 55333_G_STG1 55345_G_1-01 55345_G_1-02 55345_G_1-03 55393_G_CTG1 55393_G_CTG2 55393_G_STG1 55400_G_CTG1 55400_G_CTG2 55400_G_STG 55518_G_CTG1 55518_G_CTG2 55518_G_CTG3 55518_G_STG1 55656_G_CT01 55656_G_CT02 55656_G_CT04 55656_G_ST03 55656_G_ST05 55748_G_CAG5 55748_G_CTG1 55748_G_CTG2 55748_G_CTG3 55748_G_CTG4 55933_G_TCC1 55933_G_TPP1 55933_G_TPP2 55970_G_1 55970_G_2 55970_G_3 55983_G_TG51 55984_G_TG21 55985_G_CTG1 55985_G_CTG2 55985_G_STG 56026_G_CTG1 56026_G_CTG2 56026_G_STG 56041_G_M1 56041_G_M2 56041_G_M3 56046_G_1 56046_G_2 56078_G_1 56078_G_2 56078_G_3 56090_G_D190 56298_G_0001 56298_G_0002 56298_G_0003 56356_G_CT1 56356_G_ST1 56467_G_CTG1 56467_G_CTG2 56467_G_STG1 56476_G_A 56476_G_B 56476_G_C 56532_G_A 56532_G_B 56532_G_C 56803_G_1 56803_G_2 56803_G_3 56803_G_4 56832_G_GE1 56832_G_GE2 56832_G_GE3 56832_G_GE4 57122_G_CTG1 57122_G_STG1 57267_G_1 57267_G_2 57267_G_3 57267_G_4 57475_G_HRP1 57482_G_CTG1 57482_G_CTG2 57482_G_CTG3 57482_G_CTG4 57482_G_CTG5 57482_G_CTG6 57482_G_CTG7 57482_G_CTG8 57515_G_GT1 57515_G_GT2 57515_G_GT3 57515_G_GT4 57515_G_GT5 57555_G_CTG1 57555_G_CTG2 57555_G_CTG3 57564_G_CTG 57564_G_STG2 57584_G_NT2 57584_G_ST1 57584_G_STG 57901_G_5 57901_G_6 57901_G_7 57901_G_8 57978_G_CT1 57978_G_ST1 58198_G_GTG1 58198_G_GTG2 58198_G_STG1 6099_G_1 6099_G_2 7266_G_2 7266_G_3 7307_G_4 7307_G_5 7307_G_6 7368_G_1 7368_G_2 7369_G_3 7369_G_4 7527_G_2 7527_G_CCCT 7551_G_CCST 7551_G_CT1A 7551_G_CT1B 7552_G_CCCT 7552_G_CCST 902_G_1 10169_G_GEN1 10169_G_GEN2 377_G_5 55151_G_GEN1 55151_G_GEN2 55151_G_GEN3 55151_G_GEN4 50571_G_GEN1 50831_G_GEN1 10472_B_B300 10387_G_3 10387_G_1A 10748_G_U4J16 6704_G_10 6211_G_GEN1 6704_G_14 10175_G_5083 50632_B_1 10684_B_BLR22 10496_G_GTAG 151_G_1 341_G_CT3 6060_G_4 10110_G_GEN1 50299_G_GEN1 50750_G_GEN1 52169_G_B 57585_G_1 10349_G_GEN1 10156_G_GEN3 399_G_GT14 55510_G_CPP4 55541_G_CTG3 55698_G_HEP1 55810_G_S5 55951_G_AMP1 56232_G_1 7449_G_NA1 246_G_IC1 56135_G_2 56471_G_1 56569_G_2 57001_G_GEN1 57483_G_CTG2 59074_G_EG6B 59557_G_AC2FC 10661_B_4 10052_B_BLR1 50049_B_BLRC 10144_B_BLR3 54238_B_BIOMS1 10601_G_GEN1 10091_G_GEN1 10091_G_G2 57696_G_1 60918_G_00003 50119_G_GENA 56090_G_D182 ;

set Hydro :=
hydro ;

set Wind :=
wind ;

set Solar :=
solar ;

set Vehicle :=
vehicle ;

param SimHours := 48;
param SimDays:= 2;

param HorizonHours := 48;

param regup_margin := 0.010;

param regdown_margin := 0.010;

param cap := 0.500;

param veh_batteryCost := 8.000;

param:	maxcap	mincap	opcost	minup	ramp	st_cost	var_om	fix_om	regcost	:=

10034_G_GEN1	85.0	34.0	30.934864324125428	4.0	54.315	8677.634504224101	3.6	13170.0	3.0934864324125426	
10034_G_GEN2	30.0	12.0	30.955432735814625	4.0	19.17	3062.6945309026232	3.6	13170.0	3.0955432735814625	
10156_G_GEN2	6.0	2.4000000000000004	31.49289493590226	4.0	3.834	612.5389061805248	3.6	13170.0	3.149289493590226	
10156_G_GEN4	45.0	18.0	31.50094473091628	4.0	28.755	4594.041796353935	3.6	13170.0	3.150094473091628	
10175_G_0799	2.0	0.5	261.4601038860232	1.0	0.684	51.04490884837706	15.45	7340.0	9999.0	
10213_G_GEN1	38.7	15.480000000000002	32.059779570197236	4.0	24.7293	3950.8759448643846	3.6	13170.0	3.2059779570197247	
10213_G_GEN2	38.7	15.480000000000002	32.07002111444835	4.0	24.7293	3950.8759448643846	3.6	13170.0	3.207002111444836	
10213_G_GEN5	39.2	15.68	32.08731217212153	4.0	25.048800000000004	4001.920853712761	3.6	13170.0	3.208731217212153	
10213_G_GEN6	9.1	3.64	32.084175922428464	4.0	5.8149	929.0173410404624	3.6	13170.0	3.2084175922428466	
10213_G_GEN7	40.7	16.28	28.36754926256148	4.0	26.0073	4155.055580257893	3.6	13170.0	2.8367549262561482	
10213_G_GEN8	5.2	2.08	28.38779946613755	4.0	3.3228	530.8670520231213	3.6	13170.0	2.8387799466137547	
10294_G_GTG	73.0	29.20000000000001	31.37567747420579	4.0	46.647	7452.55669186305	3.6	13170.0	3.1375677474205794	
10294_G_STG	38.0	15.2	31.40383402972129	4.0	24.282	3879.413072476656	3.6	13170.0	3.140383402972129	
10342_G_TG1	35.0	14.0	31.06559819746493	4.0	22.365	3573.143619386393	3.6	13170.0	3.106559819746493	
10342_G_TG2	35.0	14.0	31.08544717673565	4.0	22.365	3573.143619386393	3.6	13170.0	3.1085447176735657	
10342_G_TG3	33.5	13.4	31.097487367910837	4.0	21.4065	3420.008892841263	3.6	13170.0	3.1097487367910834	
10405_G_GEN1	22.0	8.8	36.14337795541103	4.0	14.058	2245.9759893285905	3.6	13170.0	3.6143377955411036	
10405_G_GEN2	11.8	4.7200000000000015	36.17023509459857	4.0	7.5402	1204.6598488216985	3.6	13170.0	3.6170235094598566	
10479_G_T101	4.0	1.6	0.010073879704940331	2.0	1.368	102.08981769675412	0.0	100000.0	0.0010073879704940332	
10479_G_T102	4.0	1.6	0.038375937849764084	2.0	1.368	102.08981769675412	0.0	100000.0	0.003837593784976408	
10479_G_T103	4.0	1.6	0.027409704722468592	2.0	1.368	102.08981769675412	0.0	100000.0	0.0027409704722468594	
10480_G_GEN1	3.2	1.2800000000000002	0.04992716623405602	2.0	1.0944	81.6718541574033	0.0	100000.0	0.0049927166234056035	
10480_G_GEN2	3.2	1.2800000000000002	0.04012057106951325	2.0	1.0944	81.6718541574033	0.0	100000.0	0.004012057106951325	
10481_G_1	3.0	1.2000000000000002	0.0218645516075118	2.0	1.026	76.5673632725656	0.0	100000.0	0.00218645516075118	
10481_G_2	3.0	1.2000000000000002	0.004421214420777407	2.0	1.026	76.5673632725656	0.0	100000.0	0.0004421214420777409	
10481_G_3	3.0	1.2000000000000002	0.029439134750365917	2.0	1.026	76.5673632725656	0.0	100000.0	0.002943913475036591	
10623_G_GEN1	22.1	8.840000000000002	34.05897066650285	4.0	14.121900000000002	2256.184971098266	3.6	13170.0	3.4058970666502852	
10623_G_GEN2	1.5	0.6000000000000001	34.02850867387694	4.0	0.9585	153.13472654513114	3.6	13170.0	3.4028508673876945	
10631_G_GEN1	42.0	16.8	0.013327824985744596	2.0	14.364	1071.9430858159185	0.0	100000.0	0.0013327824985744595	
10632_G_GEN1	42.0	16.8	0.032564443585411364	2.0	14.364	1071.9430858159185	0.0	100000.0	0.003256444358541137	
10634_G_GEN1	42.0	16.8	0.01777094392131084	2.0	14.364	1071.9430858159185	0.0	100000.0	0.0017770943921310844	
10759_G_GEN1	47.5	19.0	0.0186112322224073	2.0	16.245	1212.316585148955	0.0	100000.0	0.00186112322224073	
10763_G_GBU	3.2	1.2800000000000002	0.04716958261714228	2.0	1.0944	81.6718541574033	0.0	100000.0	0.004716958261714229	
10763_G_GEN1	13.5	5.4	0.02067150639027064	2.0	4.617	344.5531347265451	0.0	100000.0	0.002067150639027064	
10873_G_GEN1	27.5	11.0	0.046908174558014736	2.0	9.405	701.8674966651845	0.0	100000.0	0.004690817455801475	
10873_G_GEN2	27.0	10.8	0.04936555654293609	2.0	9.234	689.1062694530902	0.0	100000.0	0.004936555654293609	
10873_G_GEN3	26.7	10.68	0.02214272733434408	2.0	9.1314	681.4495331258338	0.0	100000.0	0.002214272733434408	
10874_G_GEN4	30.0	12.0	0.026670486937187737	2.0	10.260000000000002	765.6736327256558	0.0	100000.0	0.002667048693718774	
10874_G_GEN5	23.4	9.36	0.015046772552772416	2.0	8.0028	597.2254335260118	0.0	100000.0	0.0015046772552772415	
10874_G_GEN6	26.9	10.76	0.022396153751260882	2.0	9.1998	686.5540240106714	0.0	100000.0	0.002239615375126088	
10875_G_GEN7	21.8	8.72	0.04153897738821771	2.0	7.4556	556.3895064473098	0.0	100000.0	0.004153897738821771	
10875_G_GEN8	22.5	9.0	0.009785922106222785	2.0	7.695	574.2552245442419	0.0	100000.0	0.0009785922106222782	
10875_G_GEN9	23.5	9.4	0.04466418839027514	2.0	8.037	599.7776789684305	0.0	100000.0	0.004466418839027514	
10878_G_EE11	10.0	4.0	0.01684119434972009	2.0	3.4200000000000004	255.2245442418853	0.0	100000.0	0.0016841194349720091	
10879_G_GEN1	10.0	4.0	0.005787861068105055	2.0	3.4200000000000004	255.2245442418853	0.0	100000.0	0.0005787861068105055	
10879_G_GEN2	4.0	1.6	0.005663432964649272	2.0	1.368	102.08981769675412	0.0	100000.0	0.0005663432964649272	
10879_G_GEN3	2.1	0.8400000000000001	0.04684643569898299	2.0	0.7182000000000001	53.597154290795906	0.0	100000.0	0.004684643569898299	
260_G_CT1A	165.0	66.0	27.044437174934764	4.0	52.47	16844.81991996443	3.6	13170.0	2.704443717493476	
260_G_CT1B	165.0	66.0	27.027376825255146	4.0	52.47	16844.81991996443	3.6	13170.0	2.7027376825255147	
260_G_CT2A	165.0	66.0	27.029221818511573	4.0	52.47	16844.81991996443	3.6	13170.0	2.7029221818511573	
260_G_CT2B	165.0	66.0	27.00831454148315	4.0	52.47	16844.81991996443	3.6	13170.0	2.7008314541483154	
260_G_ST1	180.0	72.0	27.006803108336864	4.0	57.24	18376.16718541574	3.6	13170.0	2.7006803108336865	
260_G_ST2	180.0	72.0	27.020633280244088	4.0	57.24	18376.16718541574	3.6	13170.0	2.7020633280244097	
